014756195	|||	eng			Hall, S. C. (Samuel Carter), 1800-1889.		Wimbledon; illustrative details concerning the parish: ... with descriptions of the Wimbledon Park Estate. [electronic resource]		London, 1872.					lsidyv3c0bf46a
014756201	enk	eng			HAYS, C. D.		Steam Communication to the Australian and adjacent Colonies, with a comparison of the different routes by which it may be carried on; in a Letter to Earl Grey. [electronic resource]		London, 1849.					lsidyv3b9d130e
014756212	|||	eng			HUGO, Thomas, the Bewick Collector.		A Calendar of Records belonging or relating to the rectory, church, and Parish of West Hackney in the county of Middlesex, with an introductory account of their collection. L.P. [electronic resource]		[London], 1872.					lsidyv3bda7061
014756222	|||	fre			JOIN-LAMBERT, A.		Londres et les Anglais en 1771. D'après les notes de voyage de MM. Rondeaux de Sétry et de Montbray et d'après l'ouvrage de Grosley, etc. [electronic resource]		Paris, 1890.			GROSLEY, Pierre Jean.		lsidyv3bda64ab
014756225	|||	eng			KEER, William Brown.		Paris, past and present. A lecture, etc. [electronic resource]		Bombay, 1867.					lsidyv3bcc930a
014756234	|||	eng					Letters from a Lady (Miss Anne Carter.) to her Sister, during a tour to Paris, in the months of April and May, 1814. [electronic resource]		London, 1814.			CARTER, Anne.		lsidyv3be17243
014756274	|||	lat			MEURIOT, Paul.		Qualem Britanniæ formam veteres geographi sibi finxerint, etc. [electronic resource]		Lutetiæ Parisiorum, 1897.					lsidyv3bda5cc1
014756305	|||	eng				Paris (France)	A Few Days in Paris; with remarks characteristic of several distinguished personages. [electronic resource]		London : The Author, 1802.					lsidyv3bcd2284
014756306	|||	eng				Paris (France)	Zigzag to Paris, and straight home. [By F. H. Jessopp.] [electronic resource]		London, 1850.					lsidyv3bebbe39
014756318	|||	eng			POWELL, James, Contributor to “The Field.”.		Our Boating Trip from Bordeaux to Paris. [electronic resource]		London : “The Field” Office, 1880.					lsidyv3beb4cdb
014756341	|||	eng					An Address to the Inhabitants of St. James's Westminster, on certain local circumstances affecting the health of rich and poor. By a retired Churchwarden. [electronic resource]		London, 1847.				Saint James (Westminster, London, England : Parish).	lsidyv3bc3af0b
014756345	|||	eng			SANT, James.		A Refutation of a pamphlet, entitled “A Defence of an Appeal, etc. by S. Yockney; relative to a late canvas in the Parish of Saint Paul, Covent Garden. [By J. Sant, etc.] [electronic resource]		London, 1807.			YOCKNEY, William.		lsidyv3b9fee47
014756346	|||	eng			SANT, James.		Reply to an Appeal, etc. by S. Yockney, relative to a late canvass in the Parish of Saint Paul, Covent Garden, for the office of Churchwarden. [By J. Sant, etc.] [electronic resource]		London, 1807.			YOCKNEY, Samuel.		lsidyv3b9fe993
014756402	|||	eng					A slight sketch of Paris; or, some account of the French capital, in its improved state, since 1802, by a Visiter [S. Weston]. [electronic resource]		London, 1814.			WESTON, Stephen, F.R.S.		lsidyv3bebbb84
014756417	|||	eng			WOODALL, William.		Paris after two Sieges. Notes of visits during the Armistice, and immediately after the suppression of the Commune ... Reprinted, with additional illustrations, ... from “Once a Week.”. [electronic resource]		London, 1872.					lsidyv3c04f95e
014756422	|||	eng			YOCKNEY, Samuel.		An appeal to the candour and good sense of the Parishioners of Saint Paul, Covent Garden, relative to a late canvass in the Parish for the office of Churchwarden. [electronic resource]		London, 1807.					lsidyv3b9fd93e
014756423	|||	eng			YOCKNEY, Samuel.		A defence of an Appeal, etc. relative to a late Canvass in the Parish of Covent Garden for the office of Churchwarden, in answer to a reply to that Appeal. To which is subjoined a Letter on the same subject by W. Yockney. [electronic resource]		London, 1807.			YOCKNEY, William.		lsidyv3b9fea99
014756424	|||	eng			YOCKNEY, Samuel.		To the Parishioners of St. Paul, Covent Garden. [A reply to J. Sant's “Fact against Assertion.”] [electronic resource]		[London, 1808]					lsidyv3b9ff0f9
014767482	|||	eng			Baigent, Francis Joseph.		The History and Antiquities of the Parish Church of Wyke, near Winchester. [electronic resource]		Winchester : Jacob & Johnson : Nutt & Wells, 1865.					lsidyv3c2efd61
014767494	|||	eng			BAYNE, Robert.		Historical Sketch of Rickmansworth and the surrounding parishes. [With plates.] [electronic resource]		London ; Aylesbury : Watson & Hazell, 1870.					lsidyv3c4cf4a5
014767519	|||	eng			BOUVERIE, Bertrand Pleydell, Hon.		A Few Facts concerning the Parish of Pewsey in the County of Wilts. [electronic resource]		London : Skeffington & Son, 1890.					lsidyv3c1decb7
014767524	|||	eng			BOYNE, Lawrence Samuel.		Notes on the Parish of St. Anthony in Roseland and its restored Church; with remarks on the life and temptations of the patron saint ... With illustrations, etc. [electronic resource]		London : James Truscott, 1852.					lsidyv3c259366
014767528	|||	eng					Brailes: its churches, parish history, and antiquities, with a view of St. George's Church. [By Thomas Smith, Vicar of Brailes.] [electronic resource]		Evesham : W. & H. Smith, , 1879.			SMITH, Thomas, Vicar of Brailes.		lsidyv3c41beab
014767538	|||	eng			BROWNE, John Cave.		Detling in Days gone by, or the History of the parish ... With illustrations. [electronic resource]		London : Simpkin, Marshall & Co. ; Maidstone : Burgiss-Brown, 1880.					lsidyv3c21c494
014767539	|||	eng			BROWNE, John Cave.		The History of Brasted, its manor, parish, and church, etc. [electronic resource]		Westerham : J. H. Jewell, 1874.					lsidyv3c4a9da0
014767540	|||	eng			BRUNNER, John Tomlinson, Sir, Bart.		Sir John T. Brunner, Bart., to the Parish Council of Barnton. Copy conveyance of land and buildings to be used as a village hall and school, etc. [electronic resource]		Liverpool : G. G. Walmsley, [1898]					lsidyv3c34b6a5
014767561	|||	eng			CARLTON, C. M., of Durham.		The Monumental Inscriptions of the Cathedral, Parish Churches and Cemeteries of the City of Durham. vol. 1. [electronic resource]		Durham : W. Ainsley & Bro., 1880.					lsidyv3c4c9fe5
014767595	|||	eng			COOK, Thomas, AND SON.		Cook's Guide to Paris and its Exhibition, 1878. With plan of Paris. Compiled by Mr. Charles Moonen, etc. [electronic resource]		London : Thomas Cook & Son : Simpkin, Marshall & Co., [1878]					lsidyv3c3421d8
014767604	|||	eng			CORNISH, Sidney William.		Short Notes on the Church and Parish of Ottery St. Mary, Devon. [electronic resource]		Exeter : William Pollard, 1869.					lsidyv3c444ba7
014767605	|||	eng			COWPER, Joseph Meadows.		Our Parish Books, and what they tell us: Holy Cross, Westgate, Canterbury. [electronic resource]		Canterbury : Cross & Jackman, 1885.					lsidyv3c4ab63c -- lsidyv3c4ab25b
014767607	|||	eng			Crisp, Frederick Arthur, 1851-1922.		Some Account of the Parish of Stutton, near Ipswich, in the county of Suffolk. Compiled by F. A. Crisp. [With hand-painted heraldic illustrations.] [electronic resource]		London : Printed at the compiler's private press, 1881.					lsidyv3c31767d
014767629	|||	eng			DAVIS, Joseph Barnard.		Notice of the Opening of a Barrow at Scale House, in the West Riding of Yorkshire, and a comparison of that barrow with certain others in Jutland. (Reprinted from the Reliquary.). [electronic resource]		London : Bemrose & Sons : J. Russell Smith ; Derby : Bemrose & Sons, [1865]					lsidyv3c472bd3
014767652	|||	fre			DUQUET, Alfred.		Irlande et France [describing the reception in Ireland of a deputation from the “Société Française de Secours aux Blessés,” etc.] [electronic resource]		Paris, 1872.					lsidyv3c38ef64
014767656	|||	eng					S. Andrew's, Edburton, Sussex. Copy of Parish Register Book, 1558-1673. By ... C. H. Wilkie. [electronic resource]		Brighton : J. G. Bishop, 1884.					lsidyv3c45bbf2
014767669	|||	eng			EGERTON, William Henry.		Talbot's Tomb, in the parish church of St. Alkmund's, Whitchurch, Shropshire. [electronic resource]		Oswestry : Woodall & Co., 1885.			TALBOT, John, 1st Earl of Shrewsbury.		lsidyv3c1eac52
014767682	|||	eng			Evans, George Eyre, 1857-1939.		Whitchurch of long ago; or, notes on the history of the parish and town, etc. [electronic resource]		Oswestry : Woodall, Minshall & Co., 1893.					lsidyv3c4a8b55
014767702	|||	eng			FOSTER, William Edward, Sir.		All Saints' Parish Church, Moulton, co. Lincoln. Reprint of two papers read before the ... Lincolnshire Architectural Society in ... 1890. [electronic resource]		Lincoln : James Williamson, 1891.					lsidyv3c444d9c
014767739	|||	eng			GRIMSEY, Benjamin Page.		A Monograph on the parish of St. Nicholas, Ipswich. [electronic resource]		[Ipswich?, 1891]					lsidyv3c2546d9
014767742	|||	eng			Growse, F. S. (Frederic Salmon), 1837-1893.		Materials for a History of the Parish of Bildeston, in the County of Suffolk. With pedigrees and genealogical notices ... Compiled in the year 1859, revised and brought up to date in 1891, by F. S. Growse. [electronic resource]		London : Mitchell & Hughes, 1892.					lsidyv3c249bb4
014767758	|||	eng			HALLAM, F. H.		Random Sketches of the Parish of Marylebone. [electronic resource]		London : “Marylebone Mercury” Office, 1885.					lsidyv3c17ab15
014767762	|||	eng			HANCOCK, William Thomas.		Historical and Architectural Notices of the Parish Church of St. Martin, Liskeard, Cornwall. [electronic resource]		Liskeard : John Philp, 1879.					lsidyv3c4bac63
014767774	|||	eng				HELEN, Saint, Empress Consort of Constantius I., Emperor of Rome, Church of, in Bishopsgate.	Report on the present state of repair, and proposed restoration, of the Parish Church of St. Helen, Bishopsgate ... with some account of its ancient history. With a plan of the church as now existing, and of the parish in the year 1560. Published by order of the Vestry. [electronic resource]		London : Pearson & Son, [1864]					lsidyv3c418edb
014767775	|||	eng			HENDERSON, James Bell, D.D.		Borgue: its Parish Churches, Pastors, and People. [electronic resource]		Castle-Douglas : A. Rae, 1898.					lsidyv3c41e719
014767802	|||	eng			HOLAHAN, J.		Notes on the antiquities of the United Parishes of Ballycallan, Kilmanagh and Killaloe, etc. [electronic resource]		Kilkenny : “Journal” Office, 1875.					lsidyv3c39e3e0
014767807	|||	eng			HOPPER, Edward Carles.		Some account of the parish of Starston, Norfolk, compiled chiefly from the ancient registers by the Rector [E. C. H.] [electronic resource]		Norwich : A. H. Goose and Co., 1888.					lsidyv3c358612
014767824	|||	eng			HUTCHISON, Æneas Barkly.		A monograph of the history and restoration of the Parish Church of S. Mary, Callington. [electronic resource]		London, Exeter [printed], 1861.					lsidyv3c2f0ba7
014767849	|||	eng			JOHNSON, John Barham, Rector of Welborne, Norfolk.		A Contribution towards a history of the Parish Church of St. Andrew, Hingham, Norfolk ... A paper, etc. [electronic resource]		Norwich : A. H. Goose, 1889.					lsidyv3c449aa3
014767942	|||	eng			M., E.		Annals of the Parish of Halton. Collected and edited by E. M[ackreth]. [electronic resource]		Lancaster, 1869.					lsidyv3c4d3e2c
014767986	|||	eng			MAYNARD, John, of Waltham.		The Parish of Waltham Abbey, its history and antiquities. [With illustrations.] [electronic resource]		London, 1865.					lsidyv3c1cbe52
